puissance tot,puissance tot moy,ram used,gpu temp,cpu temp,board temp,perf
17434,17287,25.0,45.906,49.843,39.0,0
16837,17061,25.0,45.375,50.093,39.0,0
16737,16898,25.0,45.156,50.093,39.0,0
16737,16817,25.0,45.687,49.875,39.0,0
17434,17124,25.0,45.937,50.125,39.0,0
17334,17228,25.0,45.781,49.843,39.0,0
17134,17179,25.0,45.531,49.968,39.0,0
16339,16758,25.0,45.281,50.156,39.0,0
16339,16547,25.0,45.406,50.0,39.0,0
16737,16640,25.0,45.312,50.031,39.0,0
16737,16688,25.0,45.375,50.031,39.0,0
16239,16462,25.0,45.312,50.281,39.0,0
17434,16947,25.0,45.937,49.781,39.0,0
17435,17190,25.0,45.656,50.093,39.0,0
17334,17261,25.0,45.468,50.218,39.0,0
16737,16998,25.0,45.625,50.312,39.0,0
16737,16866,25.0,45.406,50.031,39.0,0
17037,16950,25.0,45.593,50.125,39.0,0
17037,16993,25.0,45.531,50.0,39.0,0
18031,17510,25.0,45.406,50.062,39.0,0
18030,17769,25.0,46.0,49.875,39.0,0
17037,17402,25.0,45.281,49.937,39.0,0
17533,17466,25.0,46.312,49.937,39.0,0
17634,17549,25.0,45.875,50.125,39.0,0
16937,17243,25.0,45.875,50.062,39.0,0
17634,17437,25.0,45.687,49.875,39.0,0
17632,17533,25.0,46.0,49.906,39.0,0
18030,17780,25.0,45.718,49.906,39.0,0
16937,17357,25.0,45.468,50.125,39.0,0
16737,17046,25.0,45.187,50.218,39.0,0
16737,16891,25.0,45.343,50.187,39.0,0
16737,16814,25.0,45.812,50.156,39.0,0
16737,16775,25.0,45.281,50.0,39.0,0
16837,16805,25.0,45.593,50.187,39.0,0
16737,16771,25.0,45.593,50.375,39.0,0
16936,16853,25.0,46.218,50.0,39.0,0
16737,16794,25.0,45.312,50.531,39.0,0
17434,17113,25.0,45.75,49.781,39.0,0
16339,16726,25.0,45.437,50.0,39.0,0
16737,16731,25.0,45.562,50.156,39.0,0
16936,16832,25.0,45.875,50.093,39.0,0
