puissance tot,puissance tot moy,ram used,gpu temp,cpu temp,board temp,perf
24890,24530,19.2,44.687,48.125,35.0,0
24791,24659,19.2,43.937,48.25,35.0,0
23688,24173,19.2,43.343,48.437,36.0,0
24393,24283,19.3,44.406,48.125,36.0,0
24990,24636,19.2,44.718,48.281,36.0,0
23688,24161,19.2,43.5,48.562,36.0,0
23797,23979,19.2,44.0,48.343,36.0,0
23802,23889,19.3,43.625,48.656,36.0,0
24990,24438,19.3,44.843,48.25,36.0,0
23793,24114,19.3,43.625,48.625,36.0,0
23788,23951,19.3,44.5,48.375,36.0,0
24086,24017,19.3,43.875,48.656,36.0,0
25389,24703,19.3,44.406,48.218,36.0,0
24299,24499,19.3,43.937,48.781,36.0,0
24292,24395,19.3,44.531,48.468,36.0,0
20515,22454,19.3,43.468,47.812,36.0,0
10753,16603,19.3,42.687,47.625,36.0,0
9858,13229,19.3,42.687,47.281,36.0,0
